26-04-11 23:19:50.535 :   task: train
  gpu_ids: [0]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best1.pth
  ]
  batch_size: 4
  nc: [16, 1]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  lambda_g: 0.1
  lambda_f: 0.05
  deep_w: 0.2
  train:[
    sigma: [15, 50]
    dataroot_H: ./dataset/gray_train_all
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [15, 25, 50]
    dataroot_H: ./dataset/gray_test
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-04-11 23:19:50.544 : 训练集大小: 1120
26-04-11 23:19:50.544 : 验证集数量: 720 (每个 sigma 一个 Dataset)
26-04-11 23:19:51.751 : Number of parameter: 3.26M
26-04-11 23:19:51.751 : start training...
26-04-11 23:53:49.967 :   sigma=15: loss=0.0319, psnr=33.6072, ssim=0.8773, attempted=1, valid=1
26-04-11 23:53:49.967 :   sigma=25: loss=0.0402, psnr=31.4509, ssim=0.8109, attempted=1, valid=1
26-04-11 23:53:49.967 :   sigma=50: loss=0.0555, psnr=29.0690, ssim=0.7073, attempted=1, valid=1
26-04-11 23:53:49.968 :   sigma=15: loss=0.0288, psnr=33.8679, ssim=0.9334, attempted=1, valid=1
26-04-11 23:53:49.968 :   sigma=25: loss=0.0354, psnr=31.7451, ssim=0.9025, attempted=1, valid=1
26-04-11 23:53:49.968 :   sigma=50: loss=0.0511, psnr=28.5728, ssim=0.8308, attempted=1, valid=1
26-04-11 23:53:49.968 :   sigma=15: loss=0.0243, psnr=36.2805, ssim=0.8615, attempted=1, valid=1
26-04-11 23:53:49.968 :   sigma=25: loss=0.0287, psnr=34.9614, ssim=0.8278, attempted=1, valid=1
26-04-11 23:53:49.968 :   sigma=50: loss=0.0391, psnr=33.0974, ssim=0.7826, attempted=1, valid=1
26-04-11 23:53:49.968 :   sigma=15: loss=0.0565, psnr=29.3726, ssim=0.9020, attempted=1, valid=1
26-04-11 23:53:49.968 :   sigma=25: loss=0.0635, psnr=27.9949, ssim=0.8746, attempted=1, valid=1
26-04-11 23:53:49.969 :   sigma=50: loss=0.0825, psnr=25.0644, ssim=0.7985, attempted=1, valid=1
26-04-11 23:53:49.969 :   sigma=15: loss=0.0464, psnr=30.6969, ssim=0.9265, attempted=1, valid=1
26-04-11 23:53:49.969 :   sigma=25: loss=0.0541, psnr=29.1680, ssim=0.8975, attempted=1, valid=1
26-04-11 23:53:49.969 :   sigma=50: loss=0.0707, psnr=26.9839, ssim=0.8356, attempted=1, valid=1
26-04-11 23:53:49.969 :   sigma=15: loss=0.0267, psnr=34.6337, ssim=0.8858, attempted=1, valid=1
26-04-11 23:53:49.969 :   sigma=25: loss=0.0339, psnr=32.4226, ssim=0.8329, attempted=1, valid=1
26-04-11 23:53:49.969 :   sigma=50: loss=0.0463, psnr=30.0881, ssim=0.7961, attempted=1, valid=1
26-04-11 23:53:49.969 :   sigma=15: loss=0.0405, psnr=31.7488, ssim=0.9038, attempted=1, valid=1
26-04-11 23:53:49.970 :   sigma=25: loss=0.0504, psnr=29.4963, ssim=0.8511, attempted=1, valid=1
26-04-11 23:53:49.970 :   sigma=50: loss=0.0679, psnr=26.6909, ssim=0.7578, attempted=1, valid=1
26-04-11 23:53:49.970 :   sigma=15: loss=0.0691, psnr=27.2603, ssim=0.9543, attempted=1, valid=1
26-04-11 23:53:49.970 :   sigma=25: loss=0.0755, psnr=26.1951, ssim=0.9431, attempted=1, valid=1
26-04-11 23:53:49.970 :   sigma=50: loss=0.0937, psnr=24.0162, ssim=0.9102, attempted=1, valid=1
26-04-11 23:53:49.970 :   sigma=15: loss=0.0386, psnr=32.1821, ssim=0.8330, attempted=1, valid=1
26-04-11 23:53:49.970 :   sigma=25: loss=0.0455, psnr=30.5910, ssim=0.7744, attempted=1, valid=1
26-04-11 23:53:49.971 :   sigma=50: loss=0.0599, psnr=28.4615, ssim=0.6564, attempted=1, valid=1
26-04-11 23:53:49.971 :   sigma=15: loss=0.0437, psnr=31.1682, ssim=0.9095, attempted=1, valid=1
26-04-11 23:53:49.971 :   sigma=25: loss=0.0545, psnr=28.7826, ssim=0.8590, attempted=1, valid=1
26-04-11 23:53:49.971 :   sigma=50: loss=0.0772, psnr=25.4564, ssim=0.7404, attempted=1, valid=1
26-04-11 23:53:49.971 :   sigma=15: loss=0.0592, psnr=28.4605, ssim=0.8945, attempted=1, valid=1
26-04-11 23:53:49.971 :   sigma=25: loss=0.0663, psnr=27.1941, ssim=0.8709, attempted=1, valid=1
26-04-11 23:53:49.971 :   sigma=50: loss=0.0859, psnr=24.5599, ssim=0.8109, attempted=1, valid=1
26-04-11 23:53:49.971 :   sigma=15: loss=0.0435, psnr=31.1639, ssim=0.8762, attempted=1, valid=1
26-04-11 23:53:49.972 :   sigma=25: loss=0.0527, psnr=29.0705, ssim=0.8102, attempted=1, valid=1
26-04-11 23:53:49.972 :   sigma=50: loss=0.0703, psnr=26.4120, ssim=0.6745, attempted=1, valid=1
26-04-11 23:53:49.972 :   sigma=15: loss=0.0382, psnr=32.2820, ssim=0.9505, attempted=1, valid=1
26-04-11 23:53:49.972 :   sigma=25: loss=0.0450, psnr=30.6916, ssim=0.9317, attempted=1, valid=1
26-04-11 23:53:49.972 :   sigma=50: loss=0.0585, psnr=28.7676, ssim=0.9018, attempted=1, valid=1
26-04-11 23:53:49.972 :   sigma=15: loss=0.0274, psnr=35.4052, ssim=0.8767, attempted=1, valid=1
26-04-11 23:53:49.972 :   sigma=25: loss=0.0324, psnr=33.8646, ssim=0.8272, attempted=1, valid=1
26-04-11 23:53:49.972 :   sigma=50: loss=0.0445, psnr=31.5903, ssim=0.7023, attempted=1, valid=1
26-04-11 23:53:49.973 :   sigma=15: loss=0.0258, psnr=35.4851, ssim=0.8086, attempted=1, valid=1
26-04-11 23:53:49.973 :   sigma=25: loss=0.0283, psnr=34.8119, ssim=0.7810, attempted=1, valid=1
26-04-11 23:53:49.973 :   sigma=50: loss=0.0363, psnr=33.4685, ssim=0.7351, attempted=1, valid=1
26-04-11 23:53:49.973 :   sigma=15: loss=0.0483, psnr=30.2340, ssim=0.8660, attempted=1, valid=1
26-04-11 23:53:49.973 :   sigma=25: loss=0.0588, psnr=28.1867, ssim=0.8030, attempted=1, valid=1
26-04-11 23:53:49.973 :   sigma=50: loss=0.0804, psnr=25.4163, ssim=0.6739, attempted=1, valid=1
26-04-11 23:53:49.973 :   sigma=15: loss=0.0315, psnr=33.5249, ssim=0.8370, attempted=1, valid=1
26-04-11 23:53:49.973 :   sigma=25: loss=0.0369, psnr=32.0290, ssim=0.7945, attempted=1, valid=1
26-04-11 23:53:49.973 :   sigma=50: loss=0.0499, psnr=29.5068, ssim=0.7259, attempted=1, valid=1
26-04-11 23:53:49.974 :   sigma=15: loss=0.0496, psnr=29.9755, ssim=0.8983, attempted=1, valid=1
26-04-11 23:53:49.974 :   sigma=25: loss=0.0580, psnr=28.2340, ssim=0.8582, attempted=1, valid=1
26-04-11 23:53:49.974 :   sigma=50: loss=0.0780, psnr=25.3379, ssim=0.7579, attempted=1, valid=1
26-04-11 23:53:49.974 :   sigma=15: loss=0.0331, psnr=33.5512, ssim=0.8767, attempted=1, valid=1
26-04-11 23:53:49.974 :   sigma=25: loss=0.0388, psnr=32.0611, ssim=0.8336, attempted=1, valid=1
26-04-11 23:53:49.974 :   sigma=50: loss=0.0513, psnr=30.0921, ssim=0.7556, attempted=1, valid=1
26-04-11 23:53:49.974 :   sigma=15: loss=0.0469, psnr=30.7047, ssim=0.9424, attempted=1, valid=1
26-04-11 23:53:49.975 :   sigma=25: loss=0.0536, psnr=29.2495, ssim=0.9251, attempted=1, valid=1
26-04-11 23:53:49.975 :   sigma=50: loss=0.0704, psnr=26.6191, ssim=0.8853, attempted=1, valid=1
